yrs,fl,dl,fd,dd,max,min,river
1989,1209.17,237.59,130,252,19.94,9.38,amz
1990,872.89,334.21,102,222,18.57,6.7,amz
1991,872.79,522.94,182,263,18.62,6.83,amz
1992,326.01,389.09,145,142,16.23,8.28,amz
1993,1080.09,107.04,67,265,19.55,10.05,amz
1994,1341.34,82.49,105,283,19.79,11.01,amz
1995,555.52,578.74,141,205,17.77,5.52,amz
1996,952.56,240.83,138,245,19.11,9.41,amz
1997,909.8,657.24,177,213,19.52,4.95,amz
1998,640.14,521.2,149,189,18.28,5.57,amz
1999,1183.82,407.9,146,238,20.03,7.49,amz
2000,891.03,249.05,116,226,19.14,8.58,amz
2001,925.49,378.29,117,229,18.86,7.44,amz
2002,1045.94,198.61,86,267,19.56,8.01,amz
2003,902.3,309.49,152,269,19.02,9.59,amz
2004,630.49,174.56,129,206,17.58,9.86,amz
2005,753.22,573.56,147,206,18.72,5.08,amz
2006,946.93,394.92,270,231,19.27,7.48,amz
1989,1065.4,160.47,102,263,20.98,11.88,mad
1990,784.72,328.42,131,220,20.96,9.81,mad
1991,869.51,425.04,137,252,20.48,9.45,mad
1992,607.35,252.44,130,200,19.88,11.81,mad
1993,1042.07,182.99,96,265,21.66,11.08,mad
1994,1106.68,174.44,106,276,21.29,11.92,mad
1995,808.62,584.24,140,240,19.93,7.98,mad
1996,847.59,295.67,126,229,20.78,10.06,mad
1997,1046.89,481.46,144,233,22.23,9.04,mad
1998,549.42,415.56,123,213,19.34,8.12,mad
1999,966.51,404.71,116,271,20.51,8.93,mad
2000,735.17,243.92,117,249,19.64,10.69,mad
2001,922.35,334.68,120,231,21.06,9.78,mad
2002,881.92,317.2,113,257,19.96,9.5,mad
2003,752.14,344.49,129,247,20.15,10.54,mad
2004,646.11,376.76,146,215,19.45,10.08,mad
2005,660.69,605.36,156,208,20.24,7.9,mad
2006,954.71,408.78,276,225,21.39,9.05,mad
1989,1285.46,262.18,118,273,21.44,9.48,pur
1990,720.64,300.1,142,231,20.48,9.3,pur
1991,760.45,525.81,192,216,20.6,10.52,pur
1992,362.67,443.51,168,138,18.06,9.17,pur
1993,1128.7,83.41,61,258,21.3,11.51,pur
1994,1371.67,144.62,133,313,21.43,11.2,pur
1995,553.93,567.67,144,183,19.31,7.41,pur
1996,921.72,297.67,165,238,20.66,10.3,pur
1997,930.89,677.25,171,191,21.13,6.61,pur
1998,662.93,598.52,155,194,19.9,5.39,pur
1999,1196.06,450.08,154,232,21.68,8.74,pur
2000,870.19,277.52,125,215,20.66,9.93,pur
2001,960.99,423.69,124,223,20.5,8.48,pur
2002,1060.73,217.74,81,265,21.12,9.28,pur
2003,992.83,224.02,103,279,20.8,10.62,pur
2004,678.1,151.51,102,252,19.13,11.52,pur
2005,756.96,620.21,160,228,20.2,5.5,pur
2006,897.96,436.86,278,215,20.7,8.4,pur
